SKU,Original Rank,Original Selected Listing,Original CPPC Status,Original Shopify UK Listing Status,Original Shopify UK Orders (CSV),Shopify Listing Actual (DB),Shopify Orders Actual (DB),Amazon Orders Actual (DB),eBay Orders Actual (DB),PMax/CPC Actual Status,Verification Result,Error Type,Reason,Evidence Source,Recommended Action
LDMT45E2745PK,129,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE CURRENTLY (may be delisted),7,13 Amazon (Ledsone+Dcvoltage),77 eBay (led_sone),NOT IN PMAX,FAIL,INCORRECT LISTING STATUS + INCORRECT SHOPIFY ORDERS,CSV says Not Listed but DB shows 7 Shopify UK orders. eBay has 77 orders. SKU appears to have been listed and sold but may now be delisted.,ledsone-db listings + orders,Verify current listing status. If delisted: re-list and select for PMax. Very strong eBay demand.
CRSF100CO+PHMU1PBRCO+LSDM220CO,204,FALSE,,Listed not selling,0,CRSF100CO ACTIVE (30 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 5 orders,coventrylights 2 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,CRSF100CO has 30 Shopify UK orders.,ledsone-db,Verify bundle.
LDMC35E144APK,61,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE,0,21 Amazon (Ledsone),led_sone 1 order,NOT IN PMAX,PASS,N/A,Not listed on Shopify UK confirmed. Amazon demand confirmed (21 orders). Strong gap opportunity.,ledsone-db listings + orders,HIGH PRIORITY: list on Shopify UK and select for PMax.
PLTTBC+LSTF40BC,145,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 8 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRSF100SN+PHCHPCRSN+LSCY290SN,166,FALSE,,Listed not selling,0,CRSF100SN ACTIVE (25 Shopify orders on component),BUNDLE=0,Amazon Ledsone 7 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,CRSF100SN has 25 Shopify UK orders.,ledsone-db,Verify bundle.
CRSF100YB+PHMU1PBRYB+LSDM220YB,215,FALSE,,Listed not selling,0,CRSF100YB ACTIVE (82 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 3 orders,coventrylights 5 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE,CRSF100YB has 82 Shopify UK orders.,ledsone-db,Verify bundle.
LSMCSQWYBL+RPM40WH,58,FALSE,,Listed not selling,0,LSMCSQWYBL = DRAFT ONLY; bundle unverified,1 (LSMCSQWYBL historic),Amazon Dcvoltage 8 orders,so_926407 11 orders,NOT IN PMAX,FAIL,LISTING STATUS QUESTIONABLE - COMPONENT DRAFT,LSMCSQWYBL is draft only (listed 2026-02-27). Not publicly active. 1 historic Shopify order on component.,ledsone-db listings + orders,Clarify listing status. If draft: correct to Not Listed.
ENC8893,245,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite listed 2022-01-05),0,7 Amazon (Dcvoltage+SRM),3 eBay (coventrylights+electricalsone),NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active since 2022. No Shopify orders found in query. Marketplace demand confirmed (10 orders).,ledsone-db listings + orders,Verify targeted Shopify orders. Likely genuine 0.
LSCY210BC2PK+RPR44WH2PK,432,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 1 order,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WCDCBM3PK+RPR44WH3PK,8,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 42 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,HIGH DEMAND: 43 Amazon orders. Verify bundle listing.
TPHTTN2PBRBM+LSGLBC160AR+LDMST64E274,342,FALSE,,Not listed on Shopify UK,0,TPHTTN2PBRBM ACTIVE (LEDSone; 1 Shopify order on component),BUNDLE=0 (1 on component),Amazon Dcvoltage 2 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT ACTIVE BUT BUNDLE UNLISTED,TPHTTN2PBRBM is active and has 1 Shopify order.,ledsone-db,Verify bundle.
CRFF108GB4PK+HK10GB4PK,427,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 1 order,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WCDTRO3PK+RPR44WH3PK,64,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 14 orders,led_sone 3 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRSF100BB+PHCH1PBRBB+LSCY290BB,86,FALSE,,Listed not selling,0,CRSF100BB ACTIVE (LEDSone + Electricalsone + Vintagelite; 8 Shopify orders on component),BUNDLE=0,Amazon Ledsone 5 orders,led_sone 15 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,CRSF100BB has 8 Shopify UK orders.,ledsone-db listings + orders,Verify bundle.
CRFF100GB2PK+LHNSE27GB2PK,49,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 18 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CL3RBKAPK,294,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Electricalsone + Vintagelite listed 2019),14,27 Amazon (Dcvoltage+Ledsone),17 eBay (led_sone+electricalsone+coventrylights+so_926407),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 14 orders (last: 2025-10-31). Status should be SELLING. Strong cross-channel demand.,ledsone-db order_item_info,Reclassify as SELLING. Good PMax candidate due to Shopify growth potential.
CRFF100SN2PK+LHNSE27SN2PK,68,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 16 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRSF100BM+PHHN1PBRGD+LSDO210BG,192,FALSE,,Listed not selling,0,CRSF100BM ACTIVE (124 Shopify orders on component),BUNDLE=0,Amazon Ledsone 3 orders,electricalsone 6 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE,CRSF100BM has 124 Shopify UK orders.,ledsone-db,Verify bundle.
LDMST64B224APK,243,FALSE,,Not listed on Shopify UK,0,NOW ACTIVE on Electricalsone (listed 2026-08-17 = TODAY),0 (just listed today),4 Amazon (Ledsone+Dcvoltage),NOT FOUND eBay,NOT IN PMAX,FAIL,INCORRECT LISTING STATUS (STALE DATA),CSV says Not Listed but SKU was listed TODAY (2026-08-17) on Electricalsone. Stale data at time of CSV creation.,ledsone-db listings,Update listing status to ACTIVE. Monitor Shopify sales. Potential PMax candidate once sales data available.
WCBTC140FG2PK+RPR44WH2PK,29,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 26 orders,electricalsone 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle. Strong Amazon demand (26 orders).
ENC3291,253,FALSE,,Listed not selling,0,ACTIVE (LEDSone listed 2025-04-09),1,22 Amazon (Dcvoltage+Ledsone),162 eBay (vintageinterior+so_926407+led_sone),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 1 order. MASSIVE eBay demand (162 orders). Status should be SELLING on Shopify (low but not zero).,ledsone-db order_item_info,Reclassify. HIGH PRIORITY for PMax given 162 eBay orders vs 1 Shopify order.
CRSF100CO+PHSH1PBRCO+LSDM220CO+LDWWE2715,258,FALSE,,Listed not selling,0,CRSF100CO ACTIVE (30 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 4 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,CRSF100CO has 30 Shopify UK orders.,ledsone-db,Verify bundle.
PLWCBC,292,FALSE,,Listed not selling,0,ACTIVE (Vintagelite listed 2022-01-07; 5 qty),0 (not found in Shopify orders query),Amazon Dcvoltage 3 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active on Vintagelite. Not found in Shopify orders query. Low demand across all channels.,ledsone-db listings + orders,Verify Shopify orders. Low priority.
ENC1483,345,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN LISTINGS QUERY,0,33 Amazon (Dcvoltage),re6865 2 orders,NOT IN PMAX,PASS,N/A,Not listed on Shopify UK confirmed. Amazon demand confirmed (33 orders to 2026-06-22). Strong gap opportunity.,ledsone-db listings + orders,List on Shopify UK and select for PMax. Strong Amazon-to-Shopify gap.
PHUH2HETBM+SPHEBM+WCSPROCO+ICST64E27,415,FALSE,,Not listed on Shopify UK,0,PHUH2HETBM ACTIVE (LEDSone + Electricalsone; 50 Shopify orders on component),BUNDLE=0 (50 on component),Amazon Ledsone 1 order,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE BUT BUNDLE UNLISTED,PHUH2HETBM has 50 Shopify UK orders. Bundle not listed.,ledsone-db listings + orders,Verify bundle. Component is a strong seller.
LSCYRO120WH2PK+RPR44WH2PK,26,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 26 orders,electricalsone 3 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSMCSPSQMC+RPM40WH,33,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 22 orders,led_sone 4 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WSFH1BMYB+PSDS2RBR+SCRN70BM+LSFT220YE,259,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon SRM Amazon 4 orders,coventrylights 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WCFRBM+ICST64E2740,140,FALSE,,Listed not selling,0,WCFRBM ACTIVE (LEDSone; 8 Shopify orders on component),BUNDLE=0 (8 on WCFRBM),Amazon Dcvoltage 5 orders,so_926407 6 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,WCFRBM has 8 Shopify UK orders.,ledsone-db listings + orders,Verify bundle.
CRSF100BC+PHCH1PBRBC+LSCY290BC,51,FALSE,,Listed not selling,0,CRSF100BC ACTIVE (15 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 15 orders,led_sone 6 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,CRSF100BC has 15 Shopify UK orders.,ledsone-db listings + orders,Verify bundle.
WLRPE27BM,45,FALSE,,Listed not selling,0,ACTIVE (Vintagelite listed 2023-12-05),0 (not found in Shopify orders query),Amazon Ledsone 3 orders,led_sone 22 orders,NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active. Not found in Shopify orders query. eBay demand is strong (22 orders on led_sone).,ledsone-db listings + orders,Verify Shopify orders. Strong eBay demand suggests Shopify gap.
LSCY210BG2PK+RPR44WH2PK,27,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 27 orders,vintageinterior 3 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CL3RBWAPK,303,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Electricalsone + Vintagelite listed 2022),6,16 Amazon (Ledsone+Dcvoltage),20 eBay (led_sone+electricalsone+coventrylights),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 6 orders (last: 2026-05-09). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING.
ENC9103,116,FALSE,,Listed not selling,0,ACTIVE (LEDSone; listed 2025-09-12; draft also exists),0 (not found in Shopify orders query),31 Amazon (Dcvoltage+Ledsone),1 eBay (led_sone),NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active since 2025-09-12. No Shopify orders found. Amazon has 31 orders. May be genuine 0 Shopify.,ledsone-db listings + orders,Verify Shopify orders. Strong Amazon demand warrants PMax consideration.
LSCYRO120BM2PK+RPR44WH2PK,19,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 31 orders,so_926407 3 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
ENC1808,265,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN LISTINGS QUERY,0,Amazon Dcvoltage 3 orders,electricalsone 2 orders,NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in Shopify UK active listings. Low demand.,ledsone-db,Low priority.
CRSF100BM+LHNSE27YB+LSDM220GS+ICST64E27,309,FALSE,,Listed not selling,0,CRSF100BM ACTIVE (124 Shopify orders on component),BUNDLE=0,Amazon Ledsone 2 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE,CRSF100BM has 124 Shopify UK orders.,ledsone-db,Verify bundle.
ENC8191,360,FALSE,,Listed not selling,0,ACTIVE (LEDSone + dcvoltage listed 2026-02-09),0 (not found in Shopify orders query),7 Amazon (Dcvoltage),led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active since Feb 2026 (recent). No Shopify orders found. Amazon demand modest.,ledsone-db listings + orders,Verify Shopify orders. Recent listing - may not have had time to sell.
ENC338,306,FALSE,,Listed not selling,0,ACTIVE (LEDSone listed 2026-04-17),3,138 Amazon (Ledsone+Dcvoltage+SRM),20 eBay (led_sone),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 3 orders (last: 2026-08-09). MASSIVE Amazon demand (138 orders). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. HIGH PRIORITY for PMax: 138 Amazon orders vs 3 Shopify orders = massive gap.
ENC903,181,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite listed 2022-01-05),2,103 Amazon (Dcvoltage+Ledsone+SRM),8 eBay (led_sone+electricalsone),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 2 orders (last: 2025-04-19). STRONG Amazon demand (103 orders). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. HIGH PRIORITY: 103 Amazon orders vs 2 Shopify = major demand gap.
ENC9257,374,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN LISTINGS QUERY,0,8 Amazon (Ledsone),NOT FOUND eBay,NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in Shopify UK active listings. Amazon demand confirmed (8 orders).,ledsone-db,Verify listing. Listing gap opportunity.
CRSF2003BM+PHNW1RBM3PK,169,FALSE,,Not listed on Shopify UK,0,CRSF2003BM ACTIVE (76 Shopify orders on component),BUNDLE=0 (76 on component),Amazon Dcvoltage 6 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT ACTIVE BUT BUNDLE UNLISTED,CRSF2003BM has 76 Shopify UK orders.,ledsone-db,Verify bundle.
PLTTBC+LSFT220BC,14,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 35 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle. Strong Amazon demand (35 orders).
LHXSHE27WH3PK,217,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN LISTINGS QUERY,0,Amazon Ledsone 6 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in Shopify UK active listings. Amazon demand confirmed.,ledsone-db,Verify listing.
LDSG95DIE2743PK,18,FALSE,,Not listed on Shopify UK,0,ACTIVE (LEDSone; listed 2024-01-28 based on orders),6,Amazon Ledsone 34 orders,led_sone 1 order,NOT IN PMAX,FAIL,INCORRECT LISTING STATUS + INCORRECT SHOPIFY ORDERS,CSV says Not Listed and 0 orders but DB shows 6 Shopify UK orders (last: 2026-01-08) and strong Amazon demand (34 orders).,ledsone-db listings + orders,DOUBLE MISMATCH. Reclassify listing status to LISTED and orders to 6. HIGH PRIORITY for PMax.
LDSHEAE2743PK,185,FALSE,,Listed not selling,0,ACTIVE (LEDSone listed 2021-12-09),7,Amazon Ledsone 7 orders,electricalsone 1 order,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 7 orders (last: 2026-04-25). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING.
CRSF100BM+LHNSE27YB+SCRN70BM+LSFT220GS,241,FALSE,,Listed not selling,0,CRSF100BM ACTIVE (124 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 5 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE,CRSF100BM has 124 Shopify UK orders.,ledsone-db,Verify bundle.
ENC9164,368,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN LISTINGS QUERY,0,13 Amazon (Dcvoltage+Ledsone),NOT FOUND eBay,NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in active listings. Amazon demand confirmed (13 orders to 2026-08-04).,ledsone-db,Verify listing. Potential listing gap.
WCCYSQBM,445,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite + Electricalsone listed 2023),76,Amazon Ledsone 1 order,led_sone 1 order,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 76 orders (last: 2026-06-19). This is a STRONG Shopify UK seller. Status should be SELLING.,ledsone-db order_item_info,CRITICAL MISMATCH. Reclassify as SELLING. Review PMax need given strong Shopify sales.
LSMCSQWYBL,113,FALSE,,Listed not selling,0,DRAFT ONLY (LEDSone listed 2026-02-27),0 (1 on LSMCSQWYRE variant),Amazon Dcvoltage 12 orders,so_926407 1 order,NOT IN PMAX,FAIL,INCORRECT STATUS - DRAFT NOT ACTIVE,Only listing is DRAFT on LEDSone. Not publicly active on Shopify UK.,ledsone-db listings,Reclassify as Not Listed (draft). Activate listing then evaluate for PMax.
BLBB1GU225+LDGU10CD5,433,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 1 order,electricalsone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle. Low demand.
LSHM300HE+RPR44WH,6,FALSE,,Not listed on Shopify UK,0,LSHM300HE ACTIVE (LEDSone listed 2025-03-21; 6 Shopify orders on component),BUNDLE=0 (6 on component),Amazon Dcvoltage 59 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT ACTIVE BUT BUNDLE UNLISTED,LSHM300HE has 6 Shopify UK orders. Strong Amazon demand (59 orders). Bundle not listed.,ledsone-db listings + orders,Verify bundle. HIGH PRIORITY given 59 Amazon orders.
CRFF500BC+PHWL1PBRBC3PK,281,FALSE,,Not listed on Shopify UK,0,CRFF500BC ACTIVE (LEDSone + Electricalsone + Vintagelite; 4 Shopify orders on component),BUNDLE=0 (4 on component),Amazon Ledsone 1 order,led_sone 2 orders,NOT IN PMAX,FAIL,INCORRECT LISTING STATUS,CRFF500BC component is active and has 4 Shopify UK orders. CSV says Not Listed. Bundle itself may not be listed but component IS listed.,ledsone-db listings + orders,Clarify bundle vs component status. Verify if bundle is a distinct Shopify product.
WCBTC120FG2PK+RPR44WH2PK,97,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 14 orders,electricalsone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
PLTYBC+ICST64E27,226,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 5 orders,re6865 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
ENC285,67,FALSE,,Listed not selling,0,DRAFT on LEDSone; ACTIVE on Vintagelite + dcvoltage,3,29 Amazon (Dcvoltage+SRM+Ledsone),218 eBay (led_sone+vintageinterior+coventrylights+others),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 3 orders (last: 2026-02-08). MASSIVE eBay demand (218 orders). Primary LEDSone listing is DRAFT.,ledsone-db order_item_info,Reclassify as SELLING. CRITICAL: 218 eBay orders vs 3 Shopify = extreme demand gap. Activate LEDSone listing and select for PMax.
LSMCSQWYRE+RPM40WH,36,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED; LSMCSQWYRE has 1 historic Shopify order,1 (LSMCSQWYRE component),Amazon Ledsone 19 orders,so_926407 9 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED; MINOR SHOPIFY ORDER MISMATCH,LSMCSQWYRE has 1 Shopify order. Amazon demand confirmed (19 orders).,ledsone-db listings + orders,Verify bundle. Good PMax candidate.
PLTEBM,176,FALSE,,Listed not selling,0,ACTIVE (Vintagelite + LEDSone listed since 2023),68,Amazon Dcvoltage 7 orders,led_sone 2 orders,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 68 orders (last: 2026-04-24). Status should be SELLING. HIGHLY ACTIVE on Shopify UK.,ledsone-db order_item_info,CRITICAL MISMATCH. Reclassify as SELLING. One of the highest Shopify UK sellers in the list.
ENC678,135,FALSE,,Listed not selling,0,ACTIVE (LEDSone listed 2025-10-07),0 (not found in Shopify orders query),133 Amazon (Dcvoltage+Ledsone+SRM),1 eBay (electricalsone),NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active since 2025-10-07 (recent). No Shopify orders found. STRONG Amazon demand (133 orders). May be genuine 0 Shopify.,ledsone-db listings + orders,Verify Shopify orders. HIGH PRIORITY for PMax: 133 Amazon orders vs likely 0 Shopify = prime opportunity.
CL3RIVAPK,273,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Electricalsone + Vintagelite),4,28 Amazon (Dcvoltage+Ledsone),1 eBay (electricalsone),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 4 orders (last: 2025-07-15). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING.
LDMST64B2286PK,52,FALSE,,Listed not selling,0,DRAFT ONLY (BesBet listed 2025-08-29),17,161 Amazon (Ledsone+Dcvoltage),13 eBay (led_sone+electricalsone),NOT IN PMAX,FAIL,INCORRECT STATUS (DRAFT NOT ACTIVE) + INCORRECT SHOPIFY ORDERS,CSV says Listed-not-selling but listing is DRAFT on BesBet only. Has 17 Shopify UK orders in DB (all-time). MASSIVE Amazon demand (161 orders).,ledsone-db listings + orders,CRITICAL: 161 Amazon orders vs 17 Shopify. Activate listing on main channel and select for PMax immediately.
LSGLULCL2PK+RPM40WH2PK,87,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 12 orders,electricalsone 4 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
TPOS1PRBSQ,250,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite),2,Amazon Dcvoltage 5 orders,so_926407 1 order,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 2 orders (last: 2026-08-17 = TODAY). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. Order placed today.
CRSF100BM+PHCH1BMRBM+LSCY290BM,3,FALSE,,Listed not selling,0,CRSF100BM ACTIVE (124 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 85 orders,electricalsone 6 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHEST DEMAND,CRSF100BM is the TOP Amazon UK seller (85 orders) and has 124 Shopify orders. Bundle status unverified.,ledsone-db listings + orders,Verify bundle. CRSF100BM alone is extremely strong across all channels.
